HIT  sought_sn 7.0 found_sn 5.8
HIT  sought_sn nan found_sn nan
MISS sought_sn 4.4 found_sn 5.1 : diff 44.5
MISS sought_sn 5.6 found_sn 6.2 : diff 0.0

starting...
[loading test store]
file /Users/paul/Desktop/Projects/vectors_1024.vdbdone [loading test store] elapsed time: 0.000s (0.5ms 488μs)
[generating test query vectors] [container generate + store vectors] : [999 vectors of dimension 1024] ... done [container generate + store vectors] elapsed time: 0.075s (74.9ms 74860μs)
done [generating test query vectors] elapsed time: 0.075s (74.9ms 74894μs)
id_count 1048576
MISS search sn 5.0 found sn 4.6 linear sn 4.5 : diff 60.9 found norm 1338.0 linear norm 1683.8 search norm 4819.6
MISS search sn 4.8 found sn 4.7 linear sn 5.6 : diff 166.5 found norm 1415.3 linear norm 1144.2 search norm 3560.1
MISS search sn 5.8 found sn 4.8 linear sn 4.9 : diff 9.5 found norm 1718.7 linear norm 1533.4 search norm 4525.9
MISS search sn 4.7 found sn 4.3 linear sn 3.6 : diff 783.9 found norm 1371.3 linear norm 2790.6 search norm 4034.7
MISS search sn 5.5 found sn 4.0 linear sn 4.9 : diff 65.3 found norm 771.0 linear norm 635.5 search norm 3114.7
MISS search sn 5.3 found sn 5.2 linear sn 4.1 : diff 15.5 found norm 333.3 linear norm 826.7 search norm 1367.8
MISS search sn 6.5 found sn 4.9 linear sn 5.1 : diff 55.7 found norm 681.5 linear norm 674.5 search norm 2094.1
MISS search sn 4.9 found sn 5.7 linear sn 5.9 : diff 9.6 found norm 1871.2 linear norm 3237.1 search norm 4844.6
MISS search sn 4.5 found sn 4.7 linear sn 4.8 : diff 153.0 found norm 1549.3 linear norm 1694.2 search norm 3945.8
MISS search sn 5.3 found sn 5.3 linear sn 5.4 : diff 25.2 found norm 1820.0 linear norm 1046.8 search norm 3594.8
MISS search sn 5.3 found sn 5.2 linear sn 5.3 : diff 15.1 found norm 310.9 linear norm 404.7 search norm 1494.8
MISS search sn 5.5 found sn 5.0 linear sn 5.0 : diff 23.5 found norm 643.6 linear norm 774.0 search norm 1724.4
MISS search sn 5.0 found sn 4.6 linear sn 5.4 : diff 13.8 found norm 260.1 linear norm 237.2 search norm 725.1
MISS search sn 4.6 found sn 4.6 linear sn 5.3 : diff 145.8 found norm 545.4 linear norm 1350.6 search norm 3701.7
MISS search sn 27.9 found sn 6.3 linear sn 5.5 : diff 24.6 found norm 330.2 linear norm 925.4 search norm 4549.6
MISS search sn 27.8 found sn 5.5 linear sn 5.3 : diff 4.6 found norm 84.8 linear norm 233.2 search norm 1402.0
MISS search sn 5.9 found sn 5.5 linear sn 5.1 : diff 165.2 found norm 1530.5 linear norm 1672.4 search norm 3723.9
MISS search sn 5.3 found sn 4.6 linear sn 4.7 : diff 73.8 found norm 1832.0 linear norm 1971.3 search norm 4929.8
MISS search sn 4.8 found sn 4.8 linear sn 5.0 : diff 99.9 found norm 1369.4 linear norm 2023.2 search norm 4429.3
MISS search sn 4.8 found sn 5.0 linear sn 4.9 : diff 20.1 found norm 376.5 linear norm 840.9 search norm 1497.4
MISS search sn 27.8 found sn 4.8 linear sn 5.7 : diff 4.6 found norm 63.4 linear norm 170.1 search norm 1157.1
MISS search sn 27.7 found sn 4.8 linear sn 5.3 : diff 13.8 found norm 282.6 linear norm 480.0 search norm 3646.1
MISS search sn 27.7 found sn 4.7 linear sn 5.9 : diff 10.4 found norm 119.9 linear norm 329.3 search norm 1882.9
MISS search sn 4.4 found sn 4.8 linear sn 4.8 : diff 52.4 found norm 834.7 linear norm 3591.8 search norm 3363.6
MISS search sn 5.2 found sn 4.8 linear sn 4.6 : diff 60.5 found norm 144.0 linear norm 628.5 search norm 1248.8
MISS search sn 4.0 found sn 5.7 linear sn 5.3 : diff 27.5 found norm 220.4 linear norm 166.8 search norm 569.3
MISS search sn 4.7 found sn 4.7 linear sn 4.6 : diff 29.2 found norm 1147.5 linear norm 1451.9 search norm 3611.1
MISS search sn 5.7 found sn 4.9 linear sn 4.4 : diff 8.4 found norm 1162.8 linear norm 1396.0 search norm 4949.2
MISS search sn 6.0 found sn 4.6 linear sn 4.7 : diff 4.2 found norm 671.2 linear norm 773.5 search norm 1743.1
MISS search sn 5.2 found sn 5.7 linear sn 4.6 : diff 2.9 found norm 342.8 linear norm 299.3 search norm 1310.7
MISS search sn 4.8 found sn 5.6 linear sn 5.5 : diff 26.2 found norm 1724.1 linear norm 1587.2 search norm 3021.4
MISS search sn 6.3 found sn 4.5 linear sn 3.9 : diff 27.5 found norm 721.5 linear norm 883.9 search norm 2702.5
MISS search sn 5.4 found sn 4.3 linear sn 5.0 : diff 53.8 found norm 2464.3 linear norm 1336.5 search norm 4540.5
MISS search sn 4.7 found sn 5.0 linear sn 4.6 : diff 84.2 found norm 1239.0 linear norm 1404.1 search norm 4118.1
MISS search sn 5.8 found sn 5.4 linear sn 5.1 : diff 9.8 found norm 1457.7 linear norm 631.8 search norm 4632.9
MISS search sn 6.2 found sn 4.7 linear sn 4.8 : diff 68.4 found norm 864.6 linear norm 1482.8 search norm 2885.1
MISS search sn 4.5 found sn 5.0 linear sn 5.2 : diff 9.1 found norm 616.2 linear norm 875.8 search norm 2680.8
MISS search sn 5.0 found sn 5.1 linear sn 5.3 : diff 0.3 found norm 4.9 linear norm 18.7 search norm 53.2
MISS search sn 5.8 found sn 5.4 linear sn 5.8 : diff 0.5 found norm 172.2 linear norm 258.9 search norm 720.3
MISS search sn 4.8 found sn 4.5 linear sn 4.8 : diff 133.5 found norm 1692.1 linear norm 1862.8 search norm 4904.8
MISS search sn 5.2 found sn 5.5 linear sn 4.6 : diff 39.5 found norm 1553.5 linear norm 1615.5 search norm 3963.8
MISS search sn 27.8 found sn 5.5 linear sn 5.7 : diff 22.9 found norm 174.4 linear norm 420.9 search norm 3859.2
MISS search sn 5.4 found sn 4.8 linear sn 5.5 : diff 23.2 found norm 900.2 linear norm 825.5 search norm 1969.2
MISS search sn 4.7 found sn nan linear sn 4.6 : diff 340282346638528859811704183484516925440.0 found norm 0.0 linear norm 1612.6 search norm 4995.7
MISS search sn 4.8 found sn 4.7 linear sn 5.0 : diff 42.7 found norm 1495.3 linear norm 1853.4 search norm 3173.2
MISS search sn 4.3 found sn 4.1 linear sn 4.6 : diff 219.1 found norm 1303.3 linear norm 1376.9 search norm 3376.9
MISS search sn 2.9 found sn 5.0 linear sn 5.0 : diff 68.2 found norm 831.7 linear norm 332.4 search norm 1452.2
MISS search sn 5.3 found sn 4.7 linear sn 5.5 : diff 4.7 found norm 644.8 linear norm 607.2 search norm 2054.2
MISS search sn 5.5 found sn 4.6 linear sn 5.0 : diff 25.5 found norm 1533.0 linear norm 1876.6 search norm 4128.6
MISS search sn 4.6 found sn 4.9 linear sn 5.0 : diff 5.1 found norm 76.6 linear norm 136.2 search norm 470.1
MISS search sn 4.3 found sn 4.9 linear sn 4.2 : diff 127.1 found norm 2536.6 linear norm 1483.1 search norm 4242.7
MISS search sn 5.8 found sn 4.7 linear sn 4.4 : diff 26.1 found norm 967.3 linear norm 646.9 search norm 2550.3
MISS search sn 5.6 found sn 4.4 linear sn 4.8 : diff 26.3 found norm 1805.9 linear norm 1506.1 search norm 3279.9
MISS search sn 5.4 found sn 4.7 linear sn 5.3 : diff 2.6 found norm 192.8 linear norm 186.1 search norm 568.7
MISS search sn 4.9 found sn 5.3 linear sn 3.9 : diff 81.0 found norm 1992.7 linear norm 723.7 search norm 2880.0
MISS search sn 5.1 found sn 4.5 linear sn 5.1 : diff 47.1 found norm 1256.4 linear norm 2400.8 search norm 4539.3
MISS search sn 5.3 found sn 5.0 linear sn 4.6 : diff 37.5 found norm 1144.6 linear norm 1035.9 search norm 3098.8
MISS search sn 5.0 found sn 5.1 linear sn 4.9 : diff 7.7 found norm 1329.0 linear norm 1334.3 search norm 4510.2
MISS search sn 27.8 found sn 5.8 linear sn 5.7 : diff 7.5 found norm 129.0 linear norm 248.3 search norm 1949.0
MISS search sn 4.6 found sn 5.9 linear sn 4.7 : diff 29.6 found norm 668.1 linear norm 751.0 search norm 1623.6
MISS search sn 4.4 found sn 4.7 linear sn 4.8 : diff 15.3 found norm 3443.8 linear norm 2164.0 search norm 3719.8
MISS search sn 4.5 found sn 4.8 linear sn 5.1 : diff 12.8 found norm 989.2 linear norm 605.3 search norm 1588.4
MISS search sn 4.2 found sn 5.4 linear sn 5.3 : diff 2.7 found norm 403.4 linear norm 654.4 search norm 1307.4
MISS search sn 4.9 found sn 5.9 linear sn 5.0 : diff 60.5 found norm 2030.6 linear norm 1121.6 search norm 3305.3
MISS search sn 4.7 found sn 4.7 linear sn 4.8 : diff 1.3 found norm 1719.8 linear norm 1801.7 search norm 3512.3
MISS search sn 5.3 found sn 5.1 linear sn 5.1 : diff 153.0 found norm 1439.3 linear norm 1839.7 search norm 3744.4
MISS search sn 5.6 found sn 4.7 linear sn 4.8 : diff 6.6 found norm 331.5 linear norm 446.6 search norm 1241.7
MISS search sn 5.2 found sn 4.8 linear sn 4.7 : diff 19.5 found norm 588.0 linear norm 1759.7 search norm 3698.7
MISS search sn 5.3 found sn 4.8 linear sn 5.3 : diff 0.7 found norm 30.1 linear norm 11.3 search norm 90.4
MISS search sn 5.6 found sn 4.2 linear sn 4.9 : diff 2.5 found norm 258.6 linear norm 210.0 search norm 545.6
MISS search sn 6.4 found sn 5.0 linear sn 3.9 : diff 2.5 found norm 150.1 linear norm 170.9 search norm 609.6
MISS search sn 5.4 found sn 5.0 linear sn 4.9 : diff 3.1 found norm 1010.3 linear norm 1016.1 search norm 1631.6
MISS search sn 5.8 found sn 5.5 linear sn 6.3 : diff 71.7 found norm 1088.1 linear norm 1607.3 search norm 3085.6
MISS search sn 5.5 found sn 4.7 linear sn 5.1 : diff 1.5 found norm 985.9 linear norm 736.4 search norm 1744.5
MISS search sn 5.1 found sn 5.5 linear sn 4.4 : diff 2.0 found norm 181.0 linear norm 249.5 search norm 611.5
MISS search sn 4.5 found sn 5.2 linear sn 5.5 : diff 116.2 found norm 743.7 linear norm 972.8 search norm 1772.4
MISS search sn 4.6 found sn 5.3 linear sn 4.6 : diff 8.8 found norm 596.5 linear norm 844.7 search norm 3663.2
MISS search sn 4.8 found sn 5.2 linear sn 4.8 : diff 21.3 found norm 1476.4 linear norm 1303.6 search norm 4149.2
MISS search sn 4.3 found sn 4.8 linear sn 4.7 : diff 90.8 found norm 577.2 linear norm 991.6 search norm 2262.7
